mob_list,lab_list
0,0
1,39
2,2
3,122
4,19
5,113
6,41
7,9
8,91
9,138
10,136
11,118
12,89
13,70
14,24
15,131
16,47
17,5
18,130
19,67
20,25
21,53
22,106
23,22
24,38
25,14
26,133
27,76
28,81
29,31
30,37
31,57
32,114
33,56
34,15
35,85
36,59
37,71
38,72
39,111
40,62
41,74
42,64
43,75
44,79
45,128
46,34
47,46
48,60
49,105
50,13
51,95
52,84
53,30
54,90
55,26
56,93
57,94
58,3
59,4
60,7
61,109
62,69
63,6
64,40
65,101
66,102
67,29
68,1
69,96
70,17
71,33
72,48
73,50
74,63
75,66
76,21
77,82
78,61
79,65
80,45
81,52
82,8
83,54
84,18
85,68
86,117
87,97
88,99
89,11
90,107
91,80
92,73
93,78
94,27
95,12
96,124
97,57
98,16
99,35
100,32
101,92
102,116
103,28
104,36
105,100
106,49
107,104
108,51
109,86
110,125
111,20
112,44
113,110
114,115
115,126
116,98
117,87
118,23
119,132
120,103
121,10
122,121
123,88
124,123
125,58
126,42
127,108
128,112
129,127
130,77
131,120
132,129
133,119
134,83
135,43
136,139
137,137
138,134
139,55
