mob_list,lab_list
0,9
1,39
2,113
3,0
4,41
5,14
6,24
7,19
8,2
9,85
10,15
11,67
12,133
13,62
14,131
15,72
16,74
17,56
18,38
19,75
20,3
21,37
22,5
23,64
24,17
25,1
26,48
27,90
28,91
29,95
30,22
31,97
32,107
33,7
34,61
35,29
36,18
37,102
38,26
39,78
40,84
41,32
42,57
43,80
44,50
45,31
46,101
47,70
48,11
49,79
50,92
51,138
52,81
53,76
54,106
55,45
56,47
57,28
58,89
59,71
60,40
61,114
62,110
63,65
64,49
65,111
66,68
67,130
68,30
69,66
70,117
71,13
72,25
73,8
74,115
75,98
76,122
77,33
78,128
79,54
80,121
81,59
82,27
83,116
84,99
85,10
86,52
87,88
88,96
89,105
90,44
91,34
92,132
93,69
94,35
95,136
96,16
97,82
98,53
99,86
100,20
101,51
102,63
103,93
104,94
105,12
106,36
107,4
108,21
109,126
110,103
111,124
112,73
113,123
114,109
115,104
116,100
117,77
118,108
119,60
120,83
121,58
122,112
123,42
124,139
125,120
126,129
127,127
128,119
129,118
130,43
131,87
132,134
133,137
134,55
135,57
136,46
137,6
138,125
139,23
