index,metric,labels
33.0,1735.5,Manaus
65.0,1039.5,Belém
91.0,874.75,Santarém
126.0,767.0,Salvador
128.0,539.0,Vera Cruz
64.0,475.0,Barcarena
138.0,472.0,Rio Grande
139.0,472.0,São José do Norte
18.0,467.0,Careiro da Várzea
66.0,462.5,Breves
49.0,458.0,Tefé
82.0,436.5,Óbidos
88.0,359.5,Prainha
75.0,351.0,Juruti
47.0,329.5,Tabatinga
11.0,313.5,Benjamin Constant
80.0,293.0,Monte Alegre
86.0,291.5,Portel
25.0,287.0,Itacoatiara
58.0,274.5,Almeirim
41.0,272.5,Parintins
20.0,268.0,Codajás
19.0,262.0,Coari
29.0,253.625,Jutaí
21.0,248.875,Fonte Boa
78.0,241.0,Melgaço
31.0,238.25,Manacapuru
38.0,229.5,Nova Olinda do Norte
123.0,228.0,Itaparica
14.0,213.5,Borba
52.0,203.5,Urucará
73.0,200.5,Gurupá
34.0,198.0,Manicoré
45.0,196.5,São Paulo de Olivença
43.0,195.5,Santo Antônio do Içá
50.0,192.5,Tonantins
117.0,186.0,Porto Real do Colégio
121.0,186.0,Propriá
5.0,183.5,Amaturá
102.0,183.5,Santana
40.0,181.5,Novo Aripuanã
4.0,179.5,Alvarães
84.0,176.5,Oriximiná
61.0,154.0,Aveiro
46.0,153.0,São Sebastião do Uatumã
12.0,148.5,Beruri
26.0,148.0,Itapiranga
87.0,145.5,Porto de Moz
6.0,136.5,Anamã
68.0,130.75,Cametá
74.0,130.0,Itaituba
70.0,129.5,Curralinho
32.0,124.0,Manaquiri
7.0,123.0,Anori
115.0,120.0,Penedo
122.0,120.0,Santana do São Francisco
95.0,117.5,Terra Santa
100.0,112.0,Laranjal do Jari
103.0,110.5,Vitória do Jari
101.0,110.0,Macapá
0.0,105.0,Porto Velho
10.0,103.0,Barreirinha
57.0,97.5,Alenquer
116.0,93.0,Piaçabuçu
119.0,93.0,Brejo Grande
15.0,83.75,Caapiranga
92.0,78.5,São Sebastião da Boa Vista
72.0,73.25,Faro
22.0,73.0,Humaitá
67.0,69.0,Cachoeira do Arari
56.0,68.0,Afuá
51.0,67.5,Uarini
113.0,66.0,Areia Branca
114.0,66.0,Grossos
89.0,65.0,Salvaterra
83.0,63.0,Oeiras do Pará
13.0,61.5,Boa Vista do Ramos
53.0,58.0,Urucurituba
90.0,56.0,Santa Cruz do Arari
79.0,55.75,Mocajuba
9.0,53.0,Barcelos
93.0,53.0,Senador José Porfírio
81.0,50.0,Muaná
99.0,50.0,Vitória do Xingu
134.0,50.0,Imaruí
136.0,50.0,Laguna
42.0,46.5,Santa Isabel do Rio Negro
44.0,46.5,São Gabriel da Cachoeira
71.0,46.5,Curuá
62.0,45.0,Bagre
107.0,43.5,Humberto de Campos
130.0,42.0,Angra dos Reis
131.0,42.0,Mangaratiba
132.0,42.0,Guaraqueçaba
133.0,42.0,Paranaguá
37.0,41.5,Nhamundá
36.0,38.0,Maués
85.0,35.5,Ponta de Pedras
110.0,34.5,Primeira Cruz
76.0,33.0,Limoeiro do Ajuru
8.0,30.0,Autazes
69.0,29.0,Chaves
105.0,24.5,Alcântara
112.0,24.5,São Luís
48.0,24.0,Tapauá
35.0,23.0,Maraã
135.0,21.0,Itapiranga
137.0,21.0,Pinheirinho do Vale
28.0,20.0,Juruá
60.0,18.0,Anajás
111.0,18.0,São José de Ribamar
125.0,18.0,Remanso
127.0,18.0,Sento Sé
27.0,17.0,Japurá
94.0,14.0,Soure
97.0,12.75,Tucuruí
109.0,12.0,Imperatriz
17.0,11.0,Carauari
98.0,11.0,Viseu
106.0,11.0,Carutapera
104.0,10.5,Itaguatins
1.0,10.0,Cruzeiro do Sul
63.0,9.25,Baião
39.0,9.0,Novo Airão
108.0,9.0,Icatu
24.0,7.5,Iranduba
54.0,6.0,Abaetetuba
55.0,6.0,Acará
3.0,4.75,Porto Walter
23.0,4.0,Ipixuna
96.0,4.0,Tucumã
16.0,3.0,Canutama
124.0,3.0,Pilão Arcado
129.0,3.0,Xique-Xique
59.0,2.0,Altamira
118.0,2.0,Traipu
120.0,2.0,Gararu
30.0,1.5,Lábrea
77.0,1.5,Marabá
2.0,1.25,Marechal Thaumaturgo
